Name;Position;Age;Team_from;League_from;Team_to;League_to;Season;Market_value;Transfer_fee;ROI;PV
Valère Germain;Centre-Forward;27;Monaco;Ligue 1;Marseille;Ligue 1;2017-2018;10000000;8000000;-0.2;-2000000
Juan Jesus;Centre-Back;26;Inter;Serie A;AS Roma;Serie A;2017-2018;7500000;8000000;0.0666666666666667;500000
Soualiho Meïté;Defensive Midfield;23;Zulte Waregem;Jupiler Pro League;Monaco;Ligue 1;2017-2018;7000000;8000000;0.142857142857143;1000000
Sofiane Hanni;Attacking Midfield;27;RSC Anderlecht;Jupiler Pro League;Spartak Moscow;Premier Liga;2017-2018;7000000;8000000;0.142857142857143;1000000
Henry Onyekuru;Left Winger;20;KAS Eupen;Jupiler Pro League;Everton;Premier League;2017-2018;7000000;8000000;0.142857142857143;1000000
Hirving Lozano;Left Winger;21;CF Pachuca;Liga MX Clausura;PSV Eindhoven;Eredivisie;2017-2018;6500000;8000000;0.230769230769231;1500000
Matías Kranevitter;Defensive Midfield;24;Atlético Madrid;LaLiga;Zenit S-Pb;Premier Liga;2017-2018;6000000;8000000;0.333333333333333;2000000
Davie Selke;Centre-Forward;22;RB Leipzig;1.Bundesliga;Hertha BSC;1.Bundesliga;2017-2018;6000000;8000000;0.333333333333333;2000000
Nicolas de Préville;Centre-Forward;26;LOSC Lille;Ligue 1;G. Bordeaux;Ligue 1;2017-2018;5500000;8000000;0.454545454545455;2500000
Havard Nordtveit;Centre-Back;27;West Ham;Premier League;TSG Hoffenheim;1.Bundesliga;2017-2018;5000000;8000000;0.6;3000000
Mariano Díaz;Centre-Forward;23;Real Madrid;LaLiga;Olympique Lyon;Ligue 1;2017-2018;5000000;8000000;0.6;3000000
Vitor Hugo;Centre-Back;26;Palmeiras;Série A;Fiorentina;Serie A;2017-2018;4500000;8000000;0.777777777777778;3500000
Miha Mevlja;Centre-Back;27;Rostov;Premier Liga;Zenit S-Pb;Premier Liga;2017-2018;4000000;8000000;1;4000000
Admir Mehmedi;Second Striker;26;Bay. Leverkusen;1.Bundesliga;VfL Wolfsburg;1.Bundesliga;2017-2018;3500000;8000000;1.28571428571429;4500000
Wanderson;Left Winger;22;RB Salzburg;Bundesliga;Krasnodar;Premier Liga;2017-2018;2750000;8000000;1.90909090909091;5250000
Sone Aluko;Second Striker;28;Fulham;Championship;Reading;Championship;2017-2018;2500000;8000000;2.2;5500000
Amine Harit;Attacking Midfield;20;FC Nantes;Ligue 1;FC Schalke 04;1.Bundesliga;2017-2018;2000000;8000000;3;6000000
Alessandro Bastoni;Centre-Back;18;Atalanta;Serie A;Inter;Serie A;2017-2018;1500000;8000000;4.33333333333333;6500000
Rafik Guitane;Attacking Midfield;18;AC Le Havre;Ligue 2;Stade Rennais;Ligue 1;2017-2018;150000;8000000;52.3333333333333;7850000
Tanguy Ndombélé;Central Midfield;21;SC Amiens;Ligue 1;Olympique Lyon;Ligue 1;2018-2019;25000000;8000000;-0.68;-17000000
Sergi Darder;Central Midfield;24;Olympique Lyon;Ligue 1;Espanyol;LaLiga;2018-2019;11000000;8000000;-0.272727272727273;-3000000
Kasim Adams;Centre-Back;23;BSC Young Boys;Super League;TSG Hoffenheim;1.Bundesliga;2018-2019;8500000;8000000;-0.0588235294117647;-500000
Armando Izzo;Centre-Back;26;Genoa;Serie A;Torino;Serie A;2018-2019;8500000;8000000;-0.0588235294117647;-500000
Cristiano Piccini;Right-Back;25;Sporting CP;Liga NOS;Valencia CF;LaLiga;2018-2019;7500000;8000000;0.0666666666666667;500000
Ignacio Pussetto;Right Winger;22;Huracán;Primera División;Udinese Calcio;Serie A;2018-2019;7000000;8000000;0.142857142857143;1000000
Chancel Mbemba;Centre-Back;23;Newcastle;Premier League;FC Porto;Liga NOS;2018-2019;6000000;8000000;0.333333333333333;2000000
Samuel Gigot;Centre-Back;24;KAA Gent;Jupiler Pro League;Spartak Moscow;Premier Liga;2018-2019;6000000;8000000;0.333333333333333;2000000
Lukasz Fabianski;Goalkeeper;33;Swansea;Championship;West Ham;Premier League;2018-2019;5000000;8000000;0.6;3000000
Aden Flint;Centre-Back;28;Bristol City;Championship;Middlesbrough;Championship;2018-2019;5000000;8000000;0.6;3000000
Christian Cueva;Attacking Midfield;26;São Paulo;Série A;Krasnodar;Premier Liga;2018-2019;3000000;8000000;1.66666666666667;5000000
Mattéo Guendouzi;Central Midfield;19;FC Lorient;Ligue 2;Arsenal;Premier League;2018-2019;2500000;8000000;2.2;5500000
Jean-Philippe Mateta;Centre-Forward;21;Olympique Lyon;Ligue 1;1.FSV Mainz 05;1.Bundesliga;2018-2019;2500000;8000000;2.2;5500000
Fran Beltrán;Central Midfield;19;Rayo Vallecano;LaLiga;Celta de Vigo;LaLiga;2018-2019;2000000;8000000;3;6000000
Stuart Armstrong;Central Midfield;26;Celtic;Premiership;Southampton;Premier League;2018-2019;2000000;7950000;2.975;5950000
Cristiano Lucarelli;Centre-Forward;31;AS Livorno;Serie A;Shakhtar D.;Premier Liga;2007-2008;11500000;7910000;-0.312173913043478;-3590000
Mikel Arteta;Central Midfield;20;FC Barcelona;LaLiga;Rangers;Scotland;2002-2003;NA;7900000;NA;NA
Kevin-Prince Boateng;Central Midfield;20;Hertha BSC;1.Bundesliga;Spurs;Premier League;2007-2008;4000000;7900000;0.975;3900000
Stewart Downing;Left Midfield;31;West Ham;Premier League;Middlesbrough;Championship;2015-2016;6000000;7900000;0.316666666666667;1900000
Patrick Bamford;Centre-Forward;24;Middlesbrough;Championship;Leeds;Championship;2018-2019;4000000;7900000;0.975;3900000
Sabri Lamouchi;Central Midfield;28;Monaco;Ligue 1;Parma;Serie A;2000-2001;NA;7850000;NA;NA
Cesare Bovo;Centre-Back;25;Genoa;Serie A;US Palermo;Serie A;2008-2009;3500000;7850000;1.24285714285714;4350000
Jadon Sancho;Left Winger;17;Man City U18;U18 Premier League;Bor. Dortmund;1.Bundesliga;2017-2018;NA;7840000;NA;NA
Bosko Balaban;Centre-Forward;22;Dinamo Zagreb;Croatia;Aston Villa;Premier League;2001-2002;NA;7800000;NA;NA
Hugo Ibarra;Right-Back;27;Boca Juniors;Argentina;FC Porto;Portugal;2001-2002;NA;7800000;NA;NA
Zlatan Ibrahimovic;Centre-Forward;19;Malmö FF;Sweden;AFC Ajax;Eredivisie;2001-2002;NA;7800000;NA;NA
Ricardinho;Attacking Midfield;26;Corinthians;Brazil;São Paulo;Brazil;2002-2003;NA;7800000;NA;NA
Fernandinho;Defensive Midfield;20;Atlético-PR;Série A;Shakhtar D.;Premier Liga;2005-2006;500000;7800000;14.6;7300000
Carlos Alberto;Attacking Midfield;22;Fluminense;Série A;Werder Bremen;1.Bundesliga;2007-2008;7500000;7800000;0.04;300000
Scott Sinclair;Left Midfield;23;Swansea;Premier League;Man City;Premier League;2012-2013;8000000;7800000;-0.025;-200000
Nikica Jelavic;Centre-Forward;28;Everton;Premier League;Hull City;Premier League;2013-2014;6500000;7800000;0.2;1300000
Dodô;Left-Back;24;AS Roma;Serie A;Inter;Serie A;2016-2017;6000000;7800000;0.3;1800000
Alexander Sörloth;Centre-Forward;22;FC Midtjylland;Superligaen Championship round;Crystal Palace;Premier League;2017-2018;2000000;7800000;2.9;5800000
Massimo Oddo;Right-Back;30;Lazio;Serie A;AC Milan;Serie A;2006-2007;10000000;7750000;-0.225;-2250000
Gaël Clichy;Left-Back;25;Arsenal;Premier League;Man City;Premier League;2011-2012;15000000;7750000;-0.483333333333333;-7250000
Kalidou Koulibaly;Centre-Back;23;KRC Genk;Jupiler Pro League;SSC Napoli;Serie A;2014-2015;6500000;7750000;0.192307692307692;1250000
Omar Colley;Centre-Back;25;KRC Genk;Jupiler Pro League;Sampdoria;Serie A;2018-2019;5000000;7750000;0.55;2750000
Willy Sagnol;Right-Back;23;Monaco;Ligue 1;Bayern Munich;1.Bundesliga;2000-2001;NA;7700000;NA;NA
Giorgio Chiellini;Centre-Back;20;Fiorentina;Serie A;Juventus;Serie A;2005-2006;9000000;7700000;-0.144444444444444;-1300000
Danijel Pranjic;Left-Back;27;Heerenveen;Eredivisie;Bayern Munich;1.Bundesliga;2009-2010;9000000;7700000;-0.144444444444444;-1300000
Bruno Martins Indi;Centre-Back;22;Feyenoord;Eredivisie;FC Porto;Liga NOS;2014-2015;6000000;7700000;0.283333333333333;1700000
Bruno Martins Indi;Centre-Back;25;FC Porto;Liga NOS;Stoke City;Premier League;2017-2018;11000000;7700000;-0.3;-3300000
Kevin Mirallas;Right Winger;24;Olympiacos;Super League;Everton;Premier League;2012-2013;8000000;7650000;-0.04375;-350000
Simon Kjær;Centre-Back;26;LOSC Lille;Ligue 1;Fenerbahce;Süper Lig;2015-2016;8000000;7650000;-0.04375;-350000
Johan Micoud;Attacking Midfield;26;G. Bordeaux;Ligue 1;Parma;Serie A;2000-2001;NA;7600000;NA;NA
Martín Palermo;Centre-Forward;27;Boca Juniors;Argentina;Villarreal CF;LaLiga;2000-2001;NA;7600000;NA;NA
Elano;Attacking Midfield;23;Santos FC;Série A;Shakhtar D.;Premier Liga;2004-2005;NA;7600000;NA;NA
John Carew;Centre-Forward;25;Besiktas;Süper Lig;Olympique Lyon;Ligue 1;2005-2006;7000000;7600000;0.0857142857142857;600000
Kevin Doyle;Centre-Forward;25;Reading;Championship;Wolves;Premier League;2009-2010;4000000;7600000;0.9;3600000
Luís Fabiano;Centre-Forward;30;Sevilla FC;LaLiga;São Paulo;Série A;2010-2011;8000000;7600000;-0.05;-400000
Fabio Borini;Left Winger;20;Parma;Serie A;AS Roma;Serie A;2011-2012;4800000;7600000;0.583333333333333;2800000
Duvier Riascos;Centre-Forward;27;Club Tijuana;Liga MX Clausura;CF Pachuca;Liga MX Clausura;2013-2014;4000000;7600000;0.9;3600000
Filippo Romagna;Centre-Back;20;Juventus;Serie A;Cagliari Calcio;Serie A;2017-2018;1000000;7600000;6.6;6600000
Jordon Mutch;Central Midfield;22;Cardiff;Championship;QPR;Premier League;2014-2015;3000000;7570000;1.52333333333333;4570000
Ben Thatcher;Left-Back;24;MK Dons;England;Spurs;Premier League;2000-2001;NA;7540000;NA;NA
Eidur Gudjohnsen;Centre-Forward;21;Bolton;England;Chelsea;Premier League;2000-2001;NA;7500000;NA;NA
Bruno Cirillo;Centre-Back;23;Reggina;Serie A;Inter;Serie A;2000-2001;NA;7500000;NA;NA
Sunday Oliseh;Defensive Midfield;25;Juventus;Serie A;Bor. Dortmund;1.Bundesliga;2000-2001;NA;7500000;NA;NA
Roger;Attacking Midfield;21;Fluminense;Brazil;Benfica;Liga NOS;2000-2001;NA;7500000;NA;NA
Dino Baggio;Defensive Midfield;29;Parma;Serie A;Lazio;Serie A;2000-2001;NA;7500000;NA;NA
Jermaine Jenas;Central Midfield;18;Nottm Forest;First Division;Newcastle;Premier League;2001-2002;NA;7500000;NA;NA
Fernando Meira;Centre-Back;23;Benfica;Portugal;VfB Stuttgart;1.Bundesliga;2001-2002;NA;7500000;NA;NA
Jason Euell;Second Striker;24;MK Dons;First Division;Charlton;Premier League;2001-2002;NA;7500000;NA;NA
Giuliano Giannichedda;Defensive Midfield;26;Udinese Calcio;Serie A;Lazio;Serie A;2001-2002;NA;7500000;NA;NA
Robert Kovac;Centre-Back;27;Bay. Leverkusen;1.Bundesliga;Bayern Munich;1.Bundesliga;2001-2002;NA;7500000;NA;NA
Jon Macken;Centre-Forward;24;Preston NE;First Division;Man City;First Division;2001-2002;NA;7500000;NA;NA
Frédéric Née;Centre-Forward;26;SC Bastia;Ligue 1;Olympique Lyon;Ligue 1;2001-2002;NA;7500000;NA;NA
Don Hutchison;Attacking Midfield;30;Sunderland;Premier League;West Ham;Premier League;2001-2002;NA;7500000;NA;NA
Lee Hughes;Centre-Forward;25;West Brom;First Division;Coventry City;First Division;2001-2002;NA;7500000;NA;NA
Peter Crouch;Centre-Forward;21;Portsmouth;First Division;Aston Villa;Premier League;2001-2002;NA;7500000;NA;NA
Fabrizio Miccoli;Centre-Forward;23;Ternana;Serie B;Juventus;Serie A;2002-2003;NA;7500000;NA;NA
Salif Diao;Defensive Midfield;25;CS Sedan;Ligue 1;Liverpool;Premier League;2002-2003;NA;7500000;NA;NA
Matías Vuoso;Centre-Forward;20;Independiente;Argentina;Man City;Premier League;2002-2003;NA;7500000;NA;NA
Derlei;Centre-Forward;29;FC Porto;Liga NOS;Dinamo Moscow;Premier Liga;2004-2005;10000000;7500000;-0.25;-2500000
Mateja Kezman;Centre-Forward;25;PSV Eindhoven;Eredivisie;Chelsea;Premier League;2004-2005;NA;7500000;NA;NA
Tomás Ujfalusi;Centre-Back;26;Hamburger SV;1.Bundesliga;Fiorentina;Serie A;2004-2005;NA;7500000;NA;NA
Hélder Postiga;Centre-Forward;21;Spurs;Premier League;FC Porto;Liga NOS;2004-2005;NA;7500000;NA;NA
Jon Dahl Tomasson;Centre-Forward;28;AC Milan;Serie A;VfB Stuttgart;1.Bundesliga;2005-2006;15000000;7500000;-0.5;-7500000
Craig Bellamy;Left Winger;26;Newcastle;Premier League;Blackburn;Premier League;2005-2006;9000000;7500000;-0.166666666666667;-1500000
Benoît Pedretti;Defensive Midfield;24;Marseille;Ligue 1;Olympique Lyon;Ligue 1;2005-2006;9000000;7500000;-0.166666666666667;-1500000
Domenico Morfeo;Attacking Midfield;29;Inter;Serie A;Parma;Serie A;2005-2006;6000000;7500000;0.25;1500000
Stephen Makinwa;Centre-Forward;22;Atalanta;Serie B;US Palermo;Serie A;2005-2006;5000000;7500000;0.5;2500000
Ronaldo;Centre-Forward;30;Real Madrid;LaLiga;AC Milan;Serie A;2006-2007;27500000;7500000;-0.727272727272727;-20000000
Asier del Horno;Left-Back;25;Chelsea;Premier League;Valencia CF;LaLiga;2006-2007;12000000;7500000;-0.375;-4500000
Fatih Tekke;Centre-Forward;28;Trabzonspor;Süper Lig;Zenit S-Pb;Premier Liga;2006-2007;8250000;7500000;-0.0909090909090909;-750000
Emile Heskey;Centre-Forward;28;Birmingham;Championship;Wigan;Premier League;2006-2007;5500000;7500000;0.363636363636364;2000000
Diego Lugano;Centre-Back;25;São Paulo;Série A;Fenerbahce;Süper Lig;2006-2007;3750000;7500000;1;3750000
Ederson;Attacking Midfield;20;Juventude;Série A;OGC Nice;Ligue 1;2006-2007;1500000;7500000;4;6000000
Leighton Baines;Left-Back;22;Wigan;Premier League;Everton;Premier League;2007-2008;7500000;7500000;0;0
Mémé Tchité;Centre-Forward;23;RSC Anderlecht;Jupiler Pro League;Racing;LaLiga;2007-2008;5500000;7500000;0.363636363636364;2000000
Grafite;Centre-Forward;28;Le Mans;Ligue 1;VfL Wolfsburg;1.Bundesliga;2007-2008;4500000;7500000;0.666666666666667;3000000
Gary O'Neil;Central Midfield;24;Portsmouth;Premier League;Middlesbrough;Premier League;2007-2008;3750000;7500000;1;3750000
James McFadden;Second Striker;24;Everton;Premier League;Birmingham;Premier League;2007-2008;3000000;7500000;1.5;4500000
Nelson Rivas;Centre-Back;24;River Plate;Torneo Final;Inter;Serie A;2007-2008;2500000;7500000;2;5000000
Michael Chopra;Centre-Forward;23;Cardiff;Championship;Sunderland;Premier League;2007-2008;1250000;7500000;5;6250000
Domenico Criscito;Left-Back;20;Genoa;Serie A;Juventus;Serie A;2007-2008;1000000;7500000;6.5;6500000
Luis Suárez;Centre-Forward;20;FC Groningen;Eredivisie;AFC Ajax;Eredivisie;2007-2008;1000000;7500000;6.5;6500000
Antonio Nocerino;Central Midfield;23;Juventus;Serie A;US Palermo;Serie A;2008-2009;9500000;7500000;-0.210526315789474;-2000000
Pablo Aimar;Attacking Midfield;28;Real Zaragoza;LaLiga2;Benfica;Liga NOS;2008-2009;8000000;7500000;-0.0625;-500000
Miralem Pjanic;Central Midfield;18;FC Metz;Ligue 2;Olympique Lyon;Ligue 1;2008-2009;5500000;7500000;0.363636363636364;2000000
Juan Pablo Carrizo;Goalkeeper;24;River Plate;Torneo Final;Lazio;Serie A;2008-2009;5300000;7500000;0.415094339622642;2200000
Abdul Kader Keita;Right Winger;27;Olympique Lyon;Ligue 1;Galatasaray;Süper Lig;2009-2010;8000000;7500000;-0.0625;-500000
Ramires;Central Midfield;22;Cruzeiro;Série A;Benfica;Liga NOS;2009-2010;8000000;7500000;-0.0625;-500000
Leandro;Centre-Forward;24;Gamba Osaka;J1 League;Al Sadd;Qatar;2009-2010;2500000;7500000;2;5000000
Heiko Westermann;Centre-Back;26;FC Schalke 04;1.Bundesliga;Hamburger SV;1.Bundesliga;2010-2011;9000000;7500000;-0.166666666666667;-1500000
Wesley;Central Midfield;23;Santos FC;Série A;Werder Bremen;1.Bundesliga;2010-2011;6000000;7500000;0.25;1500000
Chicharito;Centre-Forward;22;Chivas;Liga MX Clausura;Man Utd;Premier League;2010-2011;6000000;7500000;0.25;1500000
Kevin-Prince Boateng;Central Midfield;24;Genoa;Serie A;AC Milan;Serie A;2011-2012;15000000;7500000;-0.5;-7500000
Mamadou Niang;Centre-Forward;31;Fenerbahce;Süper Lig;Al Sadd;Stars League;2011-2012;11500000;7500000;-0.347826086956522;-4000000
Simone Pepe;Right Winger;27;Udinese Calcio;Serie A;Juventus;Serie A;2011-2012;9000000;7500000;-0.166666666666667;-1500000
Pablo Piatti;Left Winger;22;UD Almería;LaLiga2;Valencia CF;LaLiga;2011-2012;9000000;7500000;-0.166666666666667;-1500000
Lucas Piazón;Left Winger;18;FC São Paulo B;Brazil;Chelsea;Premier League;2011-2012;7500000;7500000;0;0
Ander Herrera;Central Midfield;21;Real Zaragoza;LaLiga;Athletic Bilbao;LaLiga;2011-2012;7500000;7500000;0;0
Youssef El Arabi;Centre-Forward;24;SM Caen;Ligue 1;Hilal;Professional League;2011-2012;6500000;7500000;0.153846153846154;1000000
Felipe Caicedo;Centre-Forward;22;Levante UD;LaLiga;Loko Moscow;Premier Liga;2011-2012;5000000;7500000;0.5;2500000
Dentinho;Attacking Midfield;22;Corinthians;Série A;Shakhtar D.;Premier Liga;2011-2012;3000000;7500000;1.5;4500000
Wesley Sneijder;Attacking Midfield;28;Inter;Serie A;Galatasaray;Süper Lig;2012-2013;19000000;7500000;-0.605263157894737;-11500000
Clint Dempsey;Second Striker;29;Fulham;Premier League;Spurs;Premier League;2012-2013;15000000;7500000;-0.5;-7500000
Asamoah Gyan;Centre-Forward;26;Sunderland;Premier League;Al-Ain FC;UAE Gulf League;2012-2013;12000000;7500000;-0.375;-4500000
Goran Pandev;Second Striker;28;Inter;Serie A;SSC Napoli;Serie A;2012-2013;11000000;7500000;-0.318181818181818;-3500000
Miguel Veloso;Defensive Midfield;26;Genoa;Serie A;Dynamo Kyiv;Premier Liga;2012-2013;8000000;7500000;-0.0625;-500000
Sergio Canales;Attacking Midfield;21;Real Madrid;LaLiga;Valencia CF;LaLiga;2012-2013;5000000;7500000;0.5;2500000
Yura Movsisyan;Centre-Forward;25;Krasnodar;Premier Liga;Spartak Moscow;Premier Liga;2012-2013;3200000;7500000;1.34375;4300000
Nick Powell;Attacking Midfield;18;Crewe Alexandra;League One;Man Utd;Premier League;2012-2013;250000;7500000;29;7250000
Kévin Gameiro;Centre-Forward;26;Paris SG;Ligue 1;Sevilla FC;LaLiga;2013-2014;10000000;7500000;-0.25;-2500000
Alessandro Diamanti;Second Striker;30;Bologna;Serie A;GZ Evergrande;Super League;2013-2014;8000000;7500000;-0.0625;-500000
Emanuele Giaccherini;Left Winger;28;Juventus;Serie A;Sunderland;Premier League;2013-2014;7500000;7500000;0;0
Felipe Anderson;Right Winger;20;Santos FC;Série A;Lazio;Serie A;2013-2014;6000000;7500000;0.25;1500000
Saphir Taider;Central Midfield;21;Bologna;Serie A;Inter;Serie A;2013-2014;5000000;7500000;0.5;2500000
Wálter Montillo;Attacking Midfield;29;Santos FC;Série A;SD Luneng;Super League;2013-2014;4000000;7500000;0.875;3500000
Giannelli Imbula;Defensive Midfield;20;Guingamp;Ligue 1;Marseille;Ligue 1;2013-2014;3000000;7500000;1.5;4500000
Tiago Ilori;Centre-Back;20;Sporting CP;Liga NOS;Liverpool;Premier League;2013-2014;1500000;7500000;4;6000000
Sandro;Defensive Midfield;25;Spurs;Premier League;QPR;Premier League;2014-2015;11000000;7500000;-0.318181818181818;-3500000
Cheikhou Kouyaté;Defensive Midfield;24;RSC Anderlecht;Jupiler Pro League;West Ham;Premier League;2014-2015;7000000;7500000;0.0714285714285714;500000
Manuel Lanzini;Attacking Midfield;21;River Plate;Torneo Inicial;Al-Jazira;UAE Gulf League;2014-2015;6000000;7500000;0.25;1500000
Robert Snodgrass;Right Winger;26;Norwich;Championship;Hull City;Premier League;2014-2015;5500000;7500000;0.363636363636364;2000000
Ángel Correa;Right Winger;19;San Lorenzo;Torneo Inicial;Atlético Madrid;LaLiga;2014-2015;5000000;7500000;0.5;2500000
Romarinho;Centre-Forward;23;Corinthians;Série A;El-Jaish;Stars League;2014-2015;2000000;7500000;2.75;5500000
Lucas Ocampos;Left Winger;20;Monaco;Ligue 1;Marseille;Ligue 1;2015-2016;6500000;7500000;0.153846153846154;1000000
Jonathan Tah;Centre-Back;19;Hamburger SV;1.Bundesliga;Bay. Leverkusen;1.Bundesliga;2015-2016;6000000;7500000;0.25;1500000
Cédric Bakambu;Centre-Forward;24;Bursaspor;Süper Lig;Villarreal CF;LaLiga;2015-2016;5500000;7500000;0.363636363636364;2000000
Robert Beric;Centre-Forward;24;Rapid Vienna;Bundesliga;Saint-Étienne;Ligue 1;2015-2016;3000000;7500000;1.5;4500000
Jozo Simunovic;Centre-Back;21;Dinamo Zagreb;1.HNL;Celtic;Premiership;2015-2016;2000000;7500000;2.75;5500000
José Sosa;Attacking Midfield;31;Besiktas;Süper Lig;AC Milan;Serie A;2016-2017;8000000;7500000;-0.0625;-500000
Max Kruse;Second Striker;28;VfL Wolfsburg;1.Bundesliga;Werder Bremen;1.Bundesliga;2016-2017;8000000;7500000;-0.0625;-500000
Antonio Sanabria;Centre-Forward;20;AS Roma;Serie A;Real Betis;LaLiga;2016-2017;7500000;7500000;0;0
Timothée Kolodziejczak;Centre-Back;25;Sevilla FC;LaLiga;Bor. M'gladbach;1.Bundesliga;2016-2017;7000000;7500000;0.0714285714285714;500000
Miguel Almirón;Attacking Midfield;22;Lanús;Primera División;Atlanta United;MLS;2016-2017;5500000;7500000;0.363636363636364;2000000
Jonathan Cafú;Right Winger;26;Ludogorets;A Grupa - Championship gr.;G. Bordeaux;Ligue 1;2017-2018;10000000;7500000;-0.25;-2500000
Kieran Gibbs;Left-Back;27;Arsenal;Premier League;West Brom;Premier League;2017-2018;10000000;7500000;-0.25;-2500000
Maicon;Centre-Back;28;São Paulo;Série A;Galatasaray;Süper Lig;2017-2018;8000000;7500000;-0.0625;-500000
Wendel;Central Midfield;20;Fluminense;Série A;Sporting CP;Liga NOS;2017-2018;7500000;7500000;0;0
Christian Atsu;Left Winger;25;Chelsea;Premier League;Newcastle;Premier League;2017-2018;5000000;7500000;0.5;2500000
Badou Ndiaye;Central Midfield;26;Osmanlispor;Süper Lig;Galatasaray;Süper Lig;2017-2018;5000000;7500000;0.5;2500000
Maximilian Wöber;Centre-Back;19;Rapid Vienna;Bundesliga;AFC Ajax;Eredivisie;2017-2018;700000;7500000;9.71428571428571;6800000
Valon Berisha;Left Midfield;25;RB Salzburg;Bundesliga;Lazio;Serie A;2018-2019;10000000;7500000;-0.25;-2500000
Andrea Favilli;Centre-Forward;21;Ascoli;Serie B;Juventus;Serie A;2018-2019;4000000;7500000;0.875;3500000
Pierre Kunde;Central Midfield;22;Atlético Madrid;LaLiga;1.FSV Mainz 05;1.Bundesliga;2018-2019;2000000;7500000;2.75;5500000
Federico Valietti;Right-Back;19;Inter;Serie A;Genoa;Serie A;2018-2019;500000;7500000;14;7000000
Duván Zapata;Centre-Forward;22;Estudiantes;Torneo Final;SSC Napoli;Serie A;2013-2014;3000000;7470000;1.49;4470000
Jerzy Dudek;Goalkeeper;28;Feyenoord;Eredivisie;Liverpool;Premier League;2001-2002;NA;7400000;NA;NA
James Milner;Central Midfield;18;Leeds;Championship;Newcastle;Premier League;2004-2005;NA;7400000;NA;NA
Ashley Cole;Left-Back;25;Arsenal;Premier League;Chelsea;Premier League;2006-2007;17000000;7400000;-0.564705882352941;-9600000
Fernando Belluschi;Attacking Midfield;24;River Plate;Torneo Final;Olympiacos;Super League;2007-2008;8500000;7400000;-0.129411764705882;-1100000
Alou Diarra;Defensive Midfield;25;Olympique Lyon;Ligue 1;G. Bordeaux;Ligue 1;2007-2008;6500000;7400000;0.138461538461538;900000
Michael Bradley;Central Midfield;26;AS Roma;Serie A;Toronto FC;MLS;2013-2014;6500000;7400000;0.138461538461538;900000
James Rodríguez;Attacking Midfield;18;CA Banfield;Torneo Final;FC Porto;Liga NOS;2010-2011;2500000;7350000;1.94;4850000
Mapou Yanga-Mbiwa;Centre-Back;25;Newcastle;Premier League;AS Roma;Serie A;2014-2015;6000000;7350000;0.225;1350000
Sam Johnstone;Goalkeeper;25;Man Utd;Premier League;West Brom;Championship;2018-2019;2500000;7350000;1.94;4850000
Maarten Stekelenburg;Goalkeeper;28;AFC Ajax;Eredivisie;AS Roma;Serie A;2011-2012;11000000;7330000;-0.333636363636364;-3670000
Diego Placente;Left-Back;23;River Plate;Argentina;Bay. Leverkusen;1.Bundesliga;2000-2001;NA;7300000;NA;NA
Ji-seong Park;Attacking Midfield;24;PSV Eindhoven;Eredivisie;Man Utd;Premier League;2005-2006;5000000;7300000;0.46;2300000
Fabio Quagliarella;Centre-Forward;24;Sampdoria;Serie A;Udinese Calcio;Serie A;2007-2008;10500000;7300000;-0.304761904761905;-3200000
Yossi Benayoun;Right Winger;27;West Ham;Premier League;Liverpool;Premier League;2007-2008;4500000;7300000;0.622222222222222;2800000
Mladen Petric;Centre-Forward;27;Bor. Dortmund;1.Bundesliga;Hamburger SV;1.Bundesliga;2008-2009;9500000;7300000;-0.231578947368421;-2200000
Alessandro Rosina;Second Striker;25;Torino;Serie B;Zenit S-Pb;Premier Liga;2009-2010;11000000;7300000;-0.336363636363636;-3700000
Ricardo Quaresma;Right Winger;26;Inter;Serie A;Besiktas;Süper Lig;2010-2011;12000000;7300000;-0.391666666666667;-4700000
Jermain Defoe;Centre-Forward;31;Spurs;Premier League;Toronto FC;MLS;2013-2014;6000000;7300000;0.216666666666667;1300000
Maxime Lestienne;Left Winger;22;Club Brugge;Jupiler Pro League;Al Arabi;Stars League;2014-2015;10000000;7300000;-0.27;-2700000
Carlos Peña;Central Midfield;25;León;Liga MX Clausura;Chivas;Liga MX Clausura;2015-2016;3000000;7300000;1.43333333333333;4300000
Ashley Fletcher;Centre-Forward;21;West Ham;Premier League;Middlesbrough;Championship;2017-2018;1000000;7300000;6.3;6300000
David Sesa;Second Striker;26;Lecce;Serie A;SSC Napoli;Serie A;2000-2001;NA;7250000;NA;NA
Bert Konterman;Centre-Back;29;Feyenoord;Eredivisie;Rangers;Scotland;2000-2001;NA;7250000;NA;NA
Barry Ferguson;Defensive Midfield;27;Blackburn;Premier League;Rangers;Premiership;2004-2005;5250000;7250000;0.380952380952381;2000000
Daniel Sturridge;Centre-Forward;19;Man City;Premier League;Chelsea;Premier League;2009-2010;3000000;7250000;1.41666666666667;4250000
Emanuele Giaccherini;Left Winger;26;RC Cesena;Serie A;Juventus;Serie A;2011-2012;5000000;7250000;0.45;2250000
Alper Potuk;Attacking Midfield;22;Eskisehirspor;Süper Lig;Fenerbahce;Süper Lig;2013-2014;6500000;7250000;0.115384615384615;750000
Malick Evouna;Centre-Forward;23;Ahly;Premier League;TJ Teda;Super League;2016-2017;2000000;7250000;2.625;5250000
Eran Zahavi;Second Striker;28;M. Tel Aviv;Ligat ha'Al;GZ R&F;Super League;2016-2017;4000000;7230000;0.8075;3230000
